"ID";"Título";"Entidade";"Localização";"Requerente - Autor";"Status";"Última atualização";"Data de abertura";"Prioridade";"Atribuído - Grupo técnico";"Atribuído - Técnico";"Categoria";"Tempo para solução + Progresso";
"53 911";"Solicitação de Suporte Técnico - A tela ''Agenda Cirurgica'' do computador não está mais aparecendo dificultando meu trabalho.";"Hospital Tacchini";"Centro Cirúrgico";"cc";"Em atendimento (atribuído)";"13-09-2023 16:31";"13-09-2023 16:27";"Alta";"Grupo MV";"";"SUPORTE TÉCNICO > Computador";"14-09-2023 09:27 

 78%";
"53 868";"Suporte Dispositivos Móveis -- PRECISAMOS DE INSTALAÇÃO DOS PROGRAMAS INSTITUCIONAIS EM NOTEBOOK ADQUIRIDO PELO COMPRAS. CONFIGURAR TODOS OS SISTEMAS, MV, NL, X-CAPE, ZIMBRA, ENTRE OUTROS. NOTEBOOK SAMSUNG DISPONÍVEL NO SETOR.";"Hospital Tacchini";"Compras";"adriele.flamia";"Em atendimento (atribuído)";"13-09-2023 16:10";"13-09-2023 07:55";"Média";"Grupo Suporte Técnico";"Harlon Oliveira";"SUPORTE TÉCNICO > Tablet";"14-09-2023 18:00 

 72%";
"53 905";"Solicitação de Suporte Técnico - Solicito liberação para meu computador ter acesso a internet pois precisamos para acessar as redes sociais do hospital.   Usuário do computador: diogo.sberse";"Hospital Tacchini";"Núcleo da Experiência do Paciente";"Caroline Silveira";"Em atendimento (atribuído)";"13-09-2023 15:36";"13-09-2023 15:06";"Alta";"Grupo Suporte Técnico";"William Canton";"SUPORTE TÉCNICO > Computador";"14-09-2023 08:06 

 100%";
"53 881";"Solicitação de Suporte Técnico - Bom dia, preciso ter acesso a esse site para a minha rotina de trabalho: http://www.bravostreinamento.com.br/ até o momento o mesmo se encontra bloqueado. Desde já agradeço.";"Hospital Tacchini";"Recursos Humanos";"Glesiane De Leao Correa";"Em atendimento (atribuído)";"13-09-2023 15:36";"13-09-2023 11:18";"Média";"Grupo Suporte Técnico";"William Canton";"SUPORTE TÉCNICO > Internet";"14-09-2023 18:00 

 69%";
"53 878";"Solicitação de Suporte Técnico - A Dra. Roberta não está conseguindo acessar esse site: www.portal.cbex.com.br";"Hospital Tacchini";"Administração";"Stephanie Nunes";"Em atendimento (atribuído)";"13-09-2023 15:36";"13-09-2023 10:25";"Média";"Grupo Suporte Técnico";"William Canton";"SUPORTE TÉCNICO > Outros";"14-09-2023 18:00 

 70%";
"53 896";"Suporte Reforma/Realocação -- Faremos mudança de local das células de Educação e Folha de Pagamento no RH, e precisamos que a TI realize essa alteração na sexta feira dia 15/09/2023. Combinar com a Fabiane ou Marjana";"Hospital Tacchini";"Recursos Humanos";"Marjana Sodre de Souza";"Em atendimento (atribuído)";"13-09-2023 15:26";"13-09-2023 13:59";"Alta";"Grupo Suporte Técnico";"Jose Joaquim Pinto da Silva Junior";"SUPORTE TÉCNICO > Reforma/Realocação";"13-09-2023 17:59 

 100%";
"53 902";"Suporte Sistemas MV - SOULMV e MVPEP - #06448b38-1dc0d356-6501f769baf9c8.12217897#Precisamos criar um outro item para RISCO NUTRICIONAL OBESIDADE- IMC ACIMA DE 30 - Suporte em Geral";"Hospital Tacchini";"Nutrição";"Fernanda Dalle";"Em atendimento (atribuído)";"13-09-2023 14:55";"13-09-2023 14:55";"Média";"Grupo MV";"Bruno Bica Marques";"";"14-09-2023 18:00 

 65%";
"53 898";"Suporte Sistemas MV - SOULMV e MVPEP - Liberar aba de monitoramento de NPO para o hospital São roque. #06448b38-1dc0d356-6501f0f22cd413.05464231# - Suporte em Geral";"Hospital Tacchini";"Nutrição";"Fernanda Dalle";"Em atendimento (atribuído)";"13-09-2023 14:27";"13-09-2023 14:27";"Média";"Grupo MV";"Bruno Bica Marques";"";"14-09-2023 18:00 

 66%";
"53 885";"Suporte Assinatura Digital - na hora de assinar na salva a prescrição, aparece um cadeado do lado";"Hospital Tacchini";"UTI Adulto";"Uti Adulta";"Em atendimento (atribuído)";"13-09-2023 13:49";"13-09-2023 11:33";"Média";"Grupo Suporte Técnico";"João Cella";"SUPORTE TÉCNICO > Assinatura Digital";"14-09-2023 18:00 

 69%";
"53 800";"Solicitação de Suporte Técnico - Instalar um cabo de rede na mesa dos auditores externos a mesa esta localizada na frente da mesa do Antonio na contabilidde";"Hospital Tacchini";"Contabilidade";"Antonio Lazaroto";"Em atendimento (atribuído)";"13-09-2023 13:33";"11-09-2023 16:47";"Alta";"Grupo Suporte Técnico";"Rafael da Silva";"SUPORTE TÉCNICO > Terceiros (suporte)";"13-09-2023 14:35 

 100%";
"53 887";"Suporte Reforma/Realocação -- Solicito a instalação de uma impressora bematech 4200 em um dos computadores na sala da digitação. Procurar por Angélica ou Jéssica";"Hospital Tacchini";"Recepção SADT";"recepcao.cdi";"Em atendimento (atribuído)";"13-09-2023 13:28";"13-09-2023 11:35";"Alta";"Grupo Suporte Técnico";"Luis Franzen";"SUPORTE TÉCNICO > Reforma/Realocação";"13-09-2023 15:35 

 100%";
"53 883";"Solicitação de Suporte Técnico - Bom dia Conforme conversado hoje com o João, preciso que seja formatado meu computador, pois logo ele com meu usuário e senha porém ele entra em outra IPE. IPE correto 172.29.74.163 IPE errado 172.29.74.38";"Hospital Tacchini";"Faturamento";"faturamento";"Em atendimento (atribuído)";"13-09-2023 13:05";"13-09-2023 11:25";"Alta";"Grupo Suporte Técnico";"Fernando Martins";"SUPORTE TÉCNICO > Formatação";"13-09-2023 15:25 

 100%";
"51 522";"Suporte Sistemas MV - SOULMV e MVPEP - Preciso receber por email as contas que estão com alta mas sem conta fechada para convênio 40 particular  e 3 pacote para internação e ambulatorio, neles contendo atendimento  / data do atendimento / data da  alta";"Hospital TacchiniHospital São Roque";"Recepção";"Cristina Benelli";"Em atendimento (atribuído)";"13-09-2023 12:13";"19-07-2023 15:27";"Média";"Grupo MV";"Erli Lessnau";"SUPORTE SISTEMAS > MV > Desenvolvimento MV";"02-10-2023 18:00 

 76%";
"53 851";"Solicitação de Suporte Técnico - Pecisamos da atualização do PROGRAMA SIMPRO em PC";"Hospital Tacchini";"Administração";"Tacchimed Auditoria";"Em atendimento (atribuído)";"13-09-2023 10:37";"12-09-2023 15:39";"Alta";"Grupo Suporte Técnico";"Harlon Oliveira";"SUPORTE TÉCNICO > Computador";"13-09-2023 08:39 

 100%";
"52 709";"Suporte Sistemas MV - SOULMV e MVPEP - por gentileza unificar cadastro:ROSA MARIA RADAVELLI código: 321718 código: 316205 - Suporte em Geral";"Hospital TacchiniHospital São Roque";"Recepção";"recepcao.hsr";"Em atendimento (atribuído)";"13-09-2023 10:06";"16-08-2023 07:41";"Média";"";"Bruno Bica Marques";"Erro Operacional";"";
"53 876";"Solicitação de Suporte Técnico - instalar headset conforme pedido abaixo xcape 1951019 #06448b38-1dc0d356-6501aec9dbf7b3.73029903#";"Hospital Tacchini";"Tacchimed Cadastro";"William Canton";"Em atendimento (atribuído)";"13-09-2023 09:46";"13-09-2023 09:45";"Baixa";"Grupo Suporte Técnico";"Jose Joaquim Pinto da Silva Junior";"SUPORTE TÉCNICO > Outros";"15-09-2023 18:00 

 41%";
"53 801";"Solicitação de Suporte Técnico - Instalar o PDF Solid Creator para gerar pdf com senha, igual tem no note da Ana Angeli.";"Hospital Tacchini";"Qualidade";"Andreza Dapper";"Em atendimento (atribuído)";"13-09-2023 09:45";"11-09-2023 17:13";"Média";"Grupo Suporte Técnico";"João Cella";"SUPORTE TÉCNICO > Computador";"12-09-2023 18:00 

 100%";
"53 874";"Suporte Dispositivos Móveis -- NÃO CONECTA NA REDE UNIDADES. CONTA DO GOOGLE DESCONECTADA";"Hospital Tacchini";"Pronto Socorro";"Pronto Socorro";"Em atendimento (atribuído)";"13-09-2023 09:24";"13-09-2023 09:14";"Média";"Grupo Suporte Técnico";"Rafael da Silva";"SUPORTE TÉCNICO > Tablet";"14-09-2023 18:00 

 71%";
"53 749";"Solicitação de Suporte Técnico - Bom dia !Tudo bem ?Precisamos realizar a troca de computadores, de uma CPU por outra ( as duas para a troca já estão aqui na sala ), para evitarmos dano a cabos e realizar a troca corretamente.Alem disso precisaríamos que";"Hospital Tacchini";"Qualidade";"Gabriel Zanella Hohensee";"Em atendimento (atribuído)";"13-09-2023 09:06";"11-09-2023 10:22";"Alta";"Grupo Suporte Técnico";"Lucas Noronha";"SUPORTE TÉCNICO > Computador";"11-09-2023 14:22 

 100%";
"53 821";"Solicitação de Suporte Técnico - Por favor, precisamos com urgência um suporte para a lentidão sobre o funcionamento do computador da recepção da Clinica Tacchini. O Computador, está sem funcionamento devido a alta lentidão.";"Hospital Tacchini";"Clínica Tacchini";"Clinica Tacchini";"Em atendimento (atribuído)";"13-09-2023 09:05";"12-09-2023 09:44";"Baixa";"Grupo Suporte Técnico";"Jose Joaquim Pinto da Silva Junior";"SUPORTE TÉCNICO > Computador";"14-09-2023 18:00 

 83%";
"53 866";"Solicitação de Suporte Técnico - Preciso de acesso ao site https://sbe.bemsl.com.br/sbe-web/central/principal.html que está na aba de favoritos toma";"Hospital Tacchini";"Recursos Humanos";"Tiago Canal";"Em atendimento (atribuído)";"13-09-2023 08:10";"13-09-2023 07:50";"Média";"Grupo Suporte Técnico";"William Canton";"SUPORTE TÉCNICO > Outros";"14-09-2023 18:00 

 72%";
"53 581";"Solicitação de Suporte Técnico - Bom Dia  o computador 100.0.52.9 esta muito lento, não estou conseguindo atender os paciente tem anexar nada no prontuario do paciente, estamos com muita demanda de paciente e estamos somente com dois computadores funci";"Hospital Tacchini";"Radioterapia";"Centro Oncologia";"Em atendimento (atribuído)";"13-09-2023 08:10";"05-09-2023 09:21";"Média";"Grupo Suporte Técnico";"Lucas Noronha <br>João Cella";"SUPORTE TÉCNICO > Computador";"06-09-2023 18:00 

 100%";
"53 864";"Por favor séria possível verificar se houve a criação de chaves de integração das notas fiscais de entrada da empresa 08 - HSR na tabela CE_DIÁRIOS, abaixo a tela de acesso do dia 06,07 ,08,09 e 10 de setembro       #06448b38-1dc0d356-65018ef9";"Hospital Tacchini";"Contabilidade";"Antonio Lazaroto";"Em atendimento (atribuído)";"13-09-2023 07:30";"13-09-2023 07:30";"Alta";"Grupo NL/Xcape";"Tiago Marchetto";"SUPORTE SISTEMAS > NL Gestão";"13-09-2023 11:30 

 100%";
"53 859";"Suporte Sistemas MV - SOULMV e MVPEP - Realizado inventário (contagem 27948) e adicionado na abertura do inventário o item 797 AGUA DESTILADA 20ML - AMP. Havia grande divergência quando geraldo o relatório de divergência, 199 ampolas a mais. Desta f";"Hospital Tacchini";"Farmácia Bloco Cirúrgico";"farmaciainterna";"Em atendimento (atribuído)";"13-09-2023 07:11";"12-09-2023 18:03";"Média";"Grupo MV";"Jefferson Alves da Silva";"SUPORTE SISTEMAS > MV > Erro de sistema";"13-09-2023 18:00 

 100%";
"53 661";"Suporte Sistemas MV - SOULMV e MVPEP - Boa tarde! Estou realizando o fechamento o fechamento do atendimento 6966573 convenio GEAP, porém o mesmo não finaliza o processo de fechar a conta, acusando a seguinte mensagem:   #06448b38-1dc0d356-64f8d1a";"Hospital Tacchini";"Recepção SADT";"recepcao.cdi";"Em atendimento (atribuído)";"12-09-2023 16:35";"06-09-2023 16:25";"Média";"Grupo MV";"Erli Lessnau";"SUPORTE SISTEMAS > MV > Erro Operacional";"08-09-2023 18:00 

 100%";
"53 840";"Solicitação de Suporte Técnico - Sistema MV e Soul lentos no Palazzo Del Lavoro";"Hospital Tacchini";"Faturamento";"Vanessa Ducatti";"Em atendimento (atribuído)";"12-09-2023 16:14";"12-09-2023 13:43";"Média";"Grupo MV";"";"SUPORTE TÉCNICO > Internet";"13-09-2023 18:00 

 100%";
"53 824";"Suporte Sistemas MV - SOULMV e MVPEP - estamos com o sistema da UTI muito lento, seria necessário manutenção - Suporte em Geral";"Hospital Tacchini";"UTI Adulto";"Uti Adulta";"Em atendimento (atribuído)";"12-09-2023 16:14";"12-09-2023 10:11";"Média";"Grupo MV";"";"SUPORTE TÉCNICO > Computador";"13-09-2023 18:00 

 100%";
"53 389";"Suporte Sistemas MV - SOULMV e MVPEP - Boa Tarde     Foi criado o script abaixo , e conforme conversado com  o Bruno está buscando apenas os atendimentos quando gera interação não informa os Tipo AMBULATÓRIO E URGENCIAS   #06448b38-1dc0d356";"Hospital Tacchini";"Contact Center";"Cátia de Oliveira Picoli";"Em atendimento (atribuído)";"12-09-2023 15:50";"31-08-2023 14:29";"Média";"Grupo NL/Xcape";"Tiago Marchetto";"SUPORTE SISTEMAS > MV > Desenvolvimento MV";"01-09-2023 18:00 

 100%";
"53 841";"Solicitação de Suporte Técnico - Boa tarde, Solicito organização da fiação as PA's e na mesa da Gestão, na Central de Relacionamento no Palazzo Del Lavoro. Temos cabos de rede, energia e fontes dos micros no chão, precisamos elevar tirando do chão,";"Hospital Tacchini";"Contact Center";"cct";"Em atendimento (atribuído)";"12-09-2023 14:34";"12-09-2023 13:50";"Baixa";"Grupo Suporte Técnico";"Fernando Martins";"SUPORTE TÉCNICO > Outros";"14-09-2023 18:00 

 82%";
"53 822";"Suporte Sistemas MV - SOULMV e MVPEP - Atendimento da paciente Elisete da silva (7011943) não foi possível gerar a nota fiscal, os valores aparecem certos, mas não recalcula no valor  total  - Suporte em Geral";"Hospital Tacchini";"Recepção Internações";"internacao";"Em atendimento (atribuído)";"12-09-2023 13:31";"12-09-2023 09:48";"Média";"Grupo MV";"Erli Lessnau";"SUPORTE SISTEMAS > MV > Erro Operacional";"13-09-2023 18:00 

 100%";
"53 823";"Suporte Sistemas MV - SOULMV e MVPEP - Paciente: Maria Onice Rubo Borges - DN: 12/06/1947, nome da mãe: Lucila Nunes Rubo. Essa paciente em questão tem dois cadastros de prontuário com a mesma data de nascimento, porém o nome da mãe é outro, mas as dua";"Hospital Tacchini";"Clínica Tacchini";"Clinica Tacchini";"Em atendimento (atribuído)";"12-09-2023 09:54";"12-09-2023 09:54";"Média";"Grupo MV";"Bruno Bica Marques";"";"13-09-2023 18:00 

 100%";
"53 818";"Solicitação de Suporte Técnico - Computador não está funcionando direito, está lento, desliga sozinho entra em uma tela que não deveria entrar, não estamos conseguindo abrir os atendimentos nele.";"Hospital Tacchini";"Clínica Tacchini";"Clinica Tacchini";"Em atendimento (atribuído)";"12-09-2023 09:49";"12-09-2023 09:26";"Alta";"Grupo Suporte Técnico";"Jose Joaquim Pinto da Silva Junior";"SUPORTE TÉCNICO > Computador";"12-09-2023 13:26 

 100%";
"53 815";"Solicitação de Suporte Técnico - instalar access point conforme pedido abaixo xcape 1903957   #06448b38-1dc0d356-65004da6279be3.98539316#";"Hospital Tacchini";"Tacchimed Comercial";"William Canton";"Em atendimento (atribuído)";"12-09-2023 09:11";"12-09-2023 08:39";"Baixa";"Grupo Suporte Técnico";"Jairo Freitas";"SUPORTE TÉCNICO > Wi-fi";"14-09-2023 18:00 

 84%";
"53 780";"Solicitação de Suporte Técnico - Solicito instalação de rede wifi no Bem Estar de Guaporé";"Hospital Tacchini";"Tacchimed Atendimento ao Cliente";"Tacchimed Assistencial";"Em atendimento (atribuído)";"12-09-2023 09:10";"11-09-2023 14:46";"Média";"Grupo Suporte Técnico";"Jairo Freitas";"SUPORTE TÉCNICO > Outros";"12-09-2023 18:00 

 100%";
"53 663";"Solicitação de Suporte Técnico - Precisamos de espelhamento da central de alarme de incêndio do prédio D em nossos computadores SESMT segurança e Manutenção. Para monitoramento diário.";"Hospital Tacchini";"Sesmt Segurança";"Jamily Fidelis";"Em atendimento (atribuído)";"12-09-2023 09:09";"06-09-2023 16:31";"Alta";"Grupo Suporte Técnico";"Jairo Freitas";"SUPORTE TÉCNICO > Outros";"07-09-2023 09:31 

 100%";
"53 792";"preciso que seja possivel visualizar arquivo pdf no tablet que usamos nas copas. existe um arquivo gerado apartir de check-list que abre em pdf, mas não abre por não estar configurado";"Hospital TacchiniHospital São Roque";"SND";"Nutrição HSR";"Em atendimento (atribuído)";"12-09-2023 08:30";"11-09-2023 16:08";"Média";"Grupo Suporte Técnico HSR";"Eliandro Waliszevski";"SUPORTE SISTEMAS > Xcape";"";
"53 790";"Suporte Reforma/Realocação -- SOLICITO INSTALAÇÃO DE FONE DE OUVIDO PARA O CDI, SETOR DE RESSONANCIA MAGNÉTICA.";"Hospital Tacchini";"CDI - Ressonância";"Rosilene Zago";"Em atendimento (atribuído)";"12-09-2023 07:18";"11-09-2023 15:55";"Média";"Grupo Suporte Técnico";"João Cella";"SUPORTE TÉCNICO > Reforma/Realocação";"12-09-2023 18:00 

 100%";
"53 804";"Solicitação de Projeto";"Hospital Tacchini";"Gerência de Enfermagem";"Rafaela Protto";"Em atendimento (atribuído)";"11-09-2023 17:55";"11-09-2023 17:55";"Baixa";"Gerencia-Projetos";"Fernanda Invernizzi <br>Andreza Dapper";"";"13-09-2023 18:00 

 100%";
"51 747";"Gostaria de revisar o painel ''Fisioterapia Administração'', onde é realizado coleta de indicadores pela equipe de Fisioterapia.Gostaria de ajustar alguns desses indicadores e modificar todos o painel.Gostaria de solicitar que entrassem em contato comigo";"Hospital Tacchini";"Fisioterapia Ambulatorial";"Recep Fisioterapia";"Em atendimento (atribuído)";"11-09-2023 15:03";"25-07-2023 13:23";"Média";"Grupo NL/Xcape";"Elizete Colombo";"SUPORTE SISTEMAS > Xcape";"26-07-2023 18:00 

 100%";
"53 736";"Solicitação de Suporte Técnico - VERIFICAR POSSIBILIDADE DE ARRUMAR OS FIOS SOLTOS DE INTERNET E COMPUTADOR EMBAIXO DA MESA DA COPA CENTRAL, RETIRA-LOS DO CHÃO.    LUCILENE";"Hospital Tacchini";"Nutrição";"nutricao";"Em atendimento (atribuído)";"11-09-2023 14:58";"10-09-2023 16:22";"Alta";"Grupo Suporte Técnico";"Lucas Noronha";"SUPORTE TÉCNICO > Outros";"11-09-2023 11:00 

 100%";
